listing_id,occ_10,days_10,occ_11,days_11,occ_12,days_12,y_occupied_q4,days_observed
579251,30,30,29,29,26,26,85,85
581488,19,30,21,29,2,28,42,87
582372,0,30,1,29,1,28,2,87
583352,30,30,29,29,26,26,85,85
587519,30,30,29,29,26,26,85,85
587698,0,30,0,29,0,28,0,87
590903,30,30,1,29,0,27,31,86
591135,0,30,1,29,0,27,1,86
591565,30,30,29,29,26,26,85,85
593000,30,30,29,29,26,26,85,85
594036,30,30,29,29,26,26,85,85
594732,30,30,29,29,26,26,85,85
597544,30,30,29,29,28,28,87,87
597624,30,30,29,29,26,26,85,85
597668,3,30,3,29,2,26,8,85
599595,30,30,29,29,26,26,85,85
600775,30,30,3,29,20,28,53,87
600877,30,30,29,29,26,26,85,85
602070,30,30,29,29,20,28,79,87
604204,30,30,29,29,26,26,85,85
606269,29,30,29,29,1,27,59,86
607781,27,30,29,29,2,28,58,87
609213,30,30,29,29,26,26,85,85
611156,0,30,2,29,28,28,30,87
613528,28,30,28,29,26,27,82,86
614269,30,30,29,29,26,26,85,85
616249,30,30,29,29,26,26,85,85
618916,30,30,29,29,26,26,85,85
622410,30,30,29,29,26,26,85,85
627949,30,30,29,29,26,26,85,85
628078,30,30,29,29,26,26,85,85
629855,30,30,29,29,26,26,85,85
634353,1,30,1,29,1,27,3,86
637426,30,30,29,29,26,26,85,85
638894,30,30,29,29,26,26,85,85
639199,31,31,11,29,28,28,70,88
640899,30,30,29,29,26,26,85,85
640901,30,30,29,29,26,26,85,85
640908,30,30,29,29,26,26,85,85
640990,30,30,29,29,26,26,85,85
641012,0,30,0,29,0,27,0,86
641768,30,30,7,29,6,27,43,86
643328,30,30,29,29,0,28,59,87
643591,30,30,29,29,26,26,85,85
644575,1,31,1,29,1,28,3,88
645075,25,30,24,29,23,27,72,86
645693,8,30,29,29,17,28,54,87
645922,30,30,29,29,26,26,85,85
646458,1,30,1,29,1,28,3,87
647580,30,30,29,29,26,26,85,85
649561,30,30,29,29,26,26,85,85
649972,30,30,29,29,26,26,85,85
651375,29,30,29,29,19,27,77,86
651648,9,30,4,29,6,28,19,87
655472,30,30,29,29,26,26,85,85
657198,30,30,29,29,26,26,85,85
658366,22,30,8,29,27,27,57,86
658932,31,31,29,29,28,28,88,88
660036,30,30,29,29,26,26,85,85
664047,1,30,1,29,1,27,3,86
665394,30,30,29,29,26,26,85,85
666220,30,30,29,29,26,26,85,85
666613,30,30,29,29,28,28,87,87
666837,30,30,29,29,21,27,80,86
667375,30,30,29,29,26,26,85,85
668691,30,30,29,29,26,26,85,85
669640,30,30,7,29,7,28,44,87
675793,0,30,0,29,0,27,0,86
680104,30,30,29,29,26,26,85,85
680225,2,30,2,29,2,28,6,87
680338,30,30,29,29,26,26,85,85
681599,30,30,29,29,28,28,87,87
684808,30,30,29,29,27,27,86,86
684991,29,30,29,29,26,27,84,86
689329,30,30,29,29,26,26,85,85
690603,0,30,13,29,0,28,13,87
690934,0,30,0,29,0,27,0,86
692137,20,30,10,29,26,26,56,85
695465,30,30,29,29,26,26,85,85
698094,30,30,29,29,26,26,85,85
698132,22,30,7,29,18,27,47,86
698882,30,30,29,29,26,26,85,85
699472,28,30,21,29,28,28,77,87
703745,30,30,29,29,26,26,85,85
703971,30,30,29,29,28,28,87,87
704838,30,30,29,29,10,28,69,87
705749,3,31,2,29,3,28,8,88
705997,30,30,29,29,28,28,87,87
707396,1,30,1,29,10,27,12,86
707736,3,30,0,0,0,0,3,30
711635,30,30,29,29,3,27,62,86
712127,7,31,7,29,7,28,21,88
712136,30,30,29,29,26,26,85,85
712260,0,30,0,29,0,28,0,87
713538,6,30,3,29,0,27,9,86
714028,30,30,14,29,28,28,72,87
714049,29,30,0,29,0,28,29,87
715070,0,30,0,29,0,26,0,85
715102,3,30,3,29,2,26,8,85
717582,30,30,29,29,26,26,85,85
721762,29,30,29,29,9,27,67,86
727512,6,30,1,29,28,28,35,87
727547,0,30,1,29,28,28,29,87
729841,30,30,29,29,26,26,85,85
731316,30,30,29,29,26,26,85,85
734749,30,30,29,29,26,26,85,85
736187,30,30,29,29,27,27,86,86
739239,12,30,28,29,0,28,40,87
739242,21,30,0,29,0,28,21,87
740754,1,30,2,29,2,28,5,87
741154,30,30,29,29,26,26,85,85
741712,30,30,29,29,26,26,85,85
741783,30,30,29,29,26,26,85,85
747316,7,30,29,29,6,27,42,86
748118,22,30,8,29,14,28,44,87
748233,30,30,29,29,26,26,85,85
749276,0,30,0,29,0,28,0,87
752289,26,30,29,29,27,27,82,86
752366,30,30,29,29,26,26,85,85
753622,20,30,29,29,17,27,66,86
753687,25,30,21,29,17,27,63,86
753991,30,30,29,29,27,27,86,86
754353,3,30,3,29,2,28,8,87
755703,30,30,29,29,26,26,85,85
758919,7,30,7,29,6,26,20,85
759901,0,30,0,29,0,28,0,87
761835,0,30,1,29,1,28,2,87
762015,30,30,1,29,0,26,31,85
762145,11,30,15,29,0,27,26,86
762426,1,30,11,29,0,26,12,85
763600,30,30,29,29,26,26,85,85
765563,0,30,0,29,0,28,0,87
765569,30,30,29,29,28,28,87,87
766542,30,30,29,29,26,26,85,85
766814,30,30,29,29,26,26,85,85
766964,30,30,29,29,26,26,85,85
767286,29,30,29,29,0,28,58,87
769175,30,30,29,29,26,26,85,85
773844,30,30,29,29,26,26,85,85
773885,30,30,10,29,28,28,68,87
774791,6,30,6,29,6,26,18,85
777097,2,30,2,29,1,27,5,86
777327,30,30,29,29,3,28,62,87
779596,30,30,28,29,17,27,75,86
779838,11,30,0,29,0,27,11,86
781865,30,30,1,29,26,26,57,85
